Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train ROC-AUC,Overfit Delta,Train Time (s),Predict Time (s)
CatBoost,0.619140529730257,0.12206707342041685,0.6004028197381671,0.20288572789763834,0.6520452926757421,0.6585863945143287,0.006541101838586583,3.014862298965454,0.06195068359375
LightGBM,0.6225062192088191,0.12189260855154127,0.5925478348439074,0.20219236452355588,0.6505901991716254,0.6609295310643383,0.010339331892712855,0.6150631904602051,0.14726614952087402
MLPClassifier,0.9192722306228964,0.0,0.0,0.0,0.6334452277050464,0.6301015440235814,-0.0033436836814649817,22.32588505744934,0.8727362155914307
